"Year","Quarter ID","Quarter","Nation ID","Nation","State ID","State","Trade Value","Time"
2009,20091,"2009-Q1","mex","México",13,"Hidalgo",16771446,1233468000000
2009,20091,"2009-Q1","mex","México",14,"Jalisco",46275923,1233468000000
2009,20091,"2009-Q1","mex","México",15,"Estado de México",65632880,1233468000000
2009,20091,"2009-Q1","mex","México",16,"Michoacán de Ocampo",1545338,1233468000000
2009,20091,"2009-Q1","mex","México",17,"Morelos",3635740,1233468000000
2009,20091,"2009-Q1","mex","México",19,"Nuevo León",27483665,1233468000000
2009,20091,"2009-Q1","mex","México",21,"Puebla",87619817,1233468000000
2009,20091,"2009-Q1","mex","México",22,"Querétaro",21228029,1233468000000
2009,20091,"2009-Q1","mex","México",23,"Quintana Roo",271727,1233468000000
2009,20091,"2009-Q1","mex","México",24,"San Luis Potosí",11100705,1233468000000
2009,20091,"2009-Q1","mex","México",26,"Sonora",69914850,1233468000000
2009,20091,"2009-Q1","mex","México",28,"Tamaulipas",48489032,1233468000000
2009,20091,"2009-Q1","mex","México",29,"Tlaxcala",31912021,1233468000000
2009,20091,"2009-Q1","mex","México",30,"Veracruz de Ignacio de la Llave",979352,1233468000000
2009,20091,"2009-Q1","mex","México",31,"Yucatán",79945911,1233468000000
2009,20092,"2009-Q2","mex","México",1,"Aguascalientes",50587875,1241154000000
2009,20092,"2009-Q2","mex","México",2,"Baja California",28964273,1241154000000
2009,20092,"2009-Q2","mex","México",4,"Campeche",40474240,1241154000000
2009,20092,"2009-Q2","mex","México",5,"Coahuila de Zaragoza",142677758,1241154000000
2009,20092,"2009-Q2","mex","México",7,"Chiapas",46387,1241154000000
2009,20092,"2009-Q2","mex","México",8,"Chihuahua",97536902,1241154000000
2009,20092,"2009-Q2","mex","México",9,"Ciudad de México",133699575,1241154000000
2009,20092,"2009-Q2","mex","México",10,"Durango",35379867,1241154000000
2009,20092,"2009-Q2","mex","México",11,"Guanajuato",54152528,1241154000000
2009,20092,"2009-Q2","mex","México",13,"Hidalgo",17196060,1241154000000
2009,20092,"2009-Q2","mex","México",14,"Jalisco",36010593,1241154000000
2009,20092,"2009-Q2","mex","México",15,"Estado de México",68632765,1241154000000
2009,20092,"2009-Q2","mex","México",16,"Michoacán de Ocampo",2220365,1241154000000
2009,20092,"2009-Q2","mex","México",17,"Morelos",4686198,1241154000000
2009,20092,"2009-Q2","mex","México",19,"Nuevo León",40818144,1241154000000
2009,20092,"2009-Q2","mex","México",21,"Puebla",102046780,1241154000000
2009,20092,"2009-Q2","mex","México",22,"Querétaro",21687475,1241154000000
2009,20092,"2009-Q2","mex","México",23,"Quintana Roo",139733,1241154000000
2009,20092,"2009-Q2","mex","México",24,"San Luis Potosí",12816954,1241154000000
2009,20092,"2009-Q2","mex","México",26,"Sonora",84773263,1241154000000
2009,20092,"2009-Q2","mex","México",28,"Tamaulipas",52382471,1241154000000
2009,20092,"2009-Q2","mex","México",29,"Tlaxcala",25217477,1241154000000
2009,20092,"2009-Q2","mex","México",30,"Veracruz de Ignacio de la Llave",1605767,1241154000000
2009,20092,"2009-Q2","mex","México",31,"Yucatán",73661371,1241154000000
2009,20092,"2009-Q2","mex","México",32,"Zacatecas",1287112,1241154000000
2009,20093,"2009-Q3","mex","México",1,"Aguascalientes",67000454,1249102800000
2009,20093,"2009-Q3","mex","México",2,"Baja California",33658903,1249102800000
2009,20093,"2009-Q3","mex","México",4,"Campeche",45113388,1249102800000
2009,20093,"2009-Q3","mex","México",5,"Coahuila de Zaragoza",146272927,1249102800000
2009,20093,"2009-Q3","mex","México",7,"Chiapas",15505,1249102800000
2009,20093,"2009-Q3","mex","México",8,"Chihuahua",131417508,1249102800000
2009,20093,"2009-Q3","mex","México",9,"Ciudad de México",127138344,1249102800000
2009,20093,"2009-Q3","mex","México",10,"Durango",31504598,1249102800000
